IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BEN,Benin,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.14,,,63.28,,65.22,64.1 [63.3-65.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BDI,Burundi,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.32,,,63.45,,65.38,64.3 [63.5-65.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BWA,Botswana,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.92,,,63.62,,66.25,64.9 [63.6-66.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GMB,Gambia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.91,,,64.18,,65.83,64.9 [64.2-65.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GAB,Gabon,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.97,,,64.13,,65.98,65.0 [64.1-66.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.44,,,64.22,,66.49,65.4 [64.2-66.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.67,,,64.9,,66.54,65.7 [64.9-66.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZAF,South Africa,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.84,,,65.5,,66.28,65.8 [65.5-66.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.94,,,65.05,,66.84,65.9 [65.1-66.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GHA,Ghana,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.97,,,65.1,,66.95,66.0 [65.1-67.0],,,EN,2024-08-01T23:00:00.000Z
